"job_id","job_title","sector","district","job_description"
"JOB030","ADAS Calibration Specialist","Automotive","Pune","Looking for ADAS Specialist with hands-on knowledge in ADAS Sensor Calibration, Radar Diagnostics, LiDAR, and Automotive Telematics."
"JOB031","EV Powertrain Engineer","Automotive","Mumbai","EV Powertrain role: electric vehicle battery management systems, battery chemistry fundamentals, CAN bus diagnostics, and MATLAB Simulink modelling."
"JOB032","Quality Assurance Engineer","Automotive","Aurangabad","QA opening: six sigma methodologies, total quality management systems, CMM inspection, GD&T standards, and quality assurance."
"JOB033","CNC Programmer","Automotive","Nashik","CNC programmer vacancy: CNC programming G-code and M-code, lathe operation, milling machines, and blueprint reading skills."
"JOB034","Mechanical Design Engineer","Automotive","Nagpur","Design engineer: SolidWorks 3D modeling, CATIA 3D modeling, AutoCAD, sheet metal design, and rapid prototyping."
"JOB035","Automobile Workshop Manager","Automotive","Mumbai","Workshop manager: engine overhaul experience, brake system repair, wheel alignment, automotive diagnostics, vehicle maintenance management."
"JOB036","Advanced Driver Assistance Engineer","Automotive","Pune","ADAS role: sensor calibration for ADAS systems, radar diagnostics, LiDAR point cloud processing, automotive telematics."
"JOB037","Precision Machining Technician","Automotive","Amravati","Machining technician: CNC programming, g-code interpretation, lathe operation, milling operation, and blueprint reading."
"JOB038","EV Charging Infrastructure Engineer","Automotive","Nagpur","EV infrastructure: electric vehicle battery management, battery chemistry, CAN bus, MATLAB Simulink, and automotive telematics."
"JOB039","Automotive QC Supervisor","Automotive","Nashik","QC supervisor: six sigma, TQM, CMM inspection tools, GD&T dimensioning, quality assurance documentation."
"JOB040","CAD CAM Design Specialist","Automotive","Pune","CAD CAM: AutoCAD, SolidWorks, CATIA 3D modeling, sheet metal design, G-code generation for CNC."
"JOB041","EV Battery Analyst","Automotive","Kolhapur","Battery analyst: electric vehicle battery management, battery chemistry, MATLAB Simulink simulations, CAN bus data logging."
"JOB042","Automotive Electrical Technician","Automotive","Aurangabad","Electrical technician: automotive diagnostics, electrical troubleshooting, vehicle maintenance, preventive maintenance schedules."
"JOB043","Manufacturing Quality Engineer","Automotive","Mumbai","Quality engineer: total quality management, six sigma belt, quality assurance, CMM inspection, GD&T."
"JOB044","Body Shop Engineer","Automotive","Nashik","Body shop: sheet metal design, blueprint reading, AutoCAD drawings, prototyping, SolidWorks."
"JOB045","Textile Production Supervisor","Textile","Nagpur","Looking for Production Supervisor experienced in Loom Operation, Yarn Quality Control, Spinning, Weaving, and Production Planning."
"JOB046","Digital Textile Printing Specialist","Textile","Pune","Hiring Specialist for Digital Textile Printing, Sublimation Printing, Color Fastness Testing, Fabric Inspection, and RIP Software."
"JOB047","Garment Quality Controller","Textile","Nashik","Quality Controller needed with expertise in Fabric Inspection, Stitching Quality Control, Apparel Testing, and Defect Analysis."
"JOB048","Textile Dyeing and Finishing Master","Textile","Nagpur","Seeking Dyeing Master with expertise in Sustainable Dyeing, Chemical Processing, Effluent Treatment, Yarn Dyeing, and Shade Matching."
"JOB049","Industrial Pattern Maker","Textile","Pune","Seeking Pattern Maker skilled in Pattern Grading, Gerber CAD, Garment Fitting, Sewing Techniques, and Sample Making."
"JOB050","Weaving Maintenance Technician","Textile","Nashik","Maintenance Technician required for Airjet Loom Maintenance, Mechanical Repair, Preventive Maintenance, and Electrical Troubleshooting."
"JOB051","Weaving Floor Supervisor","Textile","Kolhapur","Supervisor needed with loom operation knowledge, yarn quality control, spinning processes, weaving technology, and production planning."
"JOB052","Textile Printing Operator","Textile","Amravati","Printing operator: digital textile printing machines, sublimation printing technique, color fastness testing, fabric inspection, RIP software handling."
"JOB053","Apparel QA Inspector","Textile","Mumbai","QA inspector: garment fabric inspection, stitching quality control, apparel testing procedures, defect analysis and reporting."
"JOB054","Dyeing Process Technician","Textile","Nagpur","Dyeing process: sustainable dyeing methods, chemical processing of fabric, effluent treatment plant operations, yarn dyeing, shade matching."
"JOB055","Garment Technologist","Textile","Pune","Garment tech: pattern grading, Gerber CAD software, garment fitting evaluation, sewing techniques, sample making."
"JOB056","Textile Machinery Fitter","Textile","Nashik","Fitter: airjet loom maintenance, mechanical repair of textile machines, preventive maintenance planning, electrical troubleshooting."
"JOB057","Yarn Testing Analyst","Textile","Kolhapur","Analyst: yarn quality control testing, color fastness testing, fabric inspection, defect analysis, apparel testing standards."
"JOB058","Printing Quality Supervisor","Textile","Nagpur","Quality supervisor: digital textile printing QC, sublimation printing calibration, RIP software, color fastness testing."
"JOB059","Sustainable Fashion Technician","Textile","Aurangabad","Sustainability role: sustainable dyeing processes, effluent treatment, chemical processing, yarn dyeing, shade matching procedures."
"JOB060","Loom Maintenance Engineer","Textile","Nashik","Maintenance engineer: airjet loom maintenance, electrical troubleshooting, mechanical repair, preventive maintenance management."
"JOB061","Warp Preparation Supervisor","Textile","Pune","Warp supervisor: weaving process, spinning operations, loom operation, yarn quality control, production planning."
"JOB062","Sample Development Coordinator","Textile","Mumbai","Development coordinator: sample making processes, pattern grading, garment fitting, sewing techniques, Gerber CAD."
"JOB063","Fabric Inspection Technician","Textile","Amravati","Inspection technician: fabric inspection procedures, defect analysis, stitching quality control, apparel testing, color fastness testing."
"JOB064","Textile Production Planner","Textile","Nagpur","Planner: production planning, loom operation scheduling, spinning, weaving targets, yarn quality control."
"JOB065","General Duty Nurse","Healthcare","Pune","Looking for qualified GDA nurse with patient care skills, vital signs monitoring, IV cannulation, wound dressing, and basic life support certification."
"JOB066","Medical Laboratory Technician","Healthcare","Nagpur","MLT vacancy: clinical biochemistry, hematology testing, blood sample collection, microscopy, lab quality control, and pathology reporting."
"JOB067","Community Health Worker","Healthcare","Nashik","CHW role: health education, vaccination administration, maternal child health, disease surveillance, and community outreach."
"JOB068","Pharmacy Technician","Healthcare","Mumbai","Pharmacy tech: drug dispensing, pharmaceutical inventory management, prescription verification, dosage calculation, and medication storage."
"JOB069","Radiology Technician","Healthcare","Aurangabad","Radiology tech: X-ray machine operation, CT scan assistance, MRI patient positioning, radiation safety procedures, PACS system."
"JOB070","Emergency Medical Technician","Healthcare","Pune","EMT position: basic life support, advanced cardiac life support, patient triage, emergency trauma care, ambulance operations."
"JOB071","Hospital Ward Nurse","Healthcare","Nashik","Ward nurse: patient care management, vital signs monitoring, wound dressing and care, IV cannulation, and hospital infection control."
"JOB072","Pathology Lab Assistant","Healthcare","Nagpur","Lab assistant: blood sample collection, hematology, clinical biochemistry, microscopy preparation, pathology lab quality control."
"JOB073","Vaccination Officer","Healthcare","Kolhapur","Vaccination officer: vaccination administration protocols, cold chain management, maternal child health programs, disease surveillance reporting."
"JOB074","Hospital Pharmacist","Healthcare","Mumbai","Pharmacist: drug dispensing accuracy, pharmaceutical inventory management, prescription verification, dosage calculations, patient counselling."
"JOB075","Diagnostic Imaging Technologist","Healthcare","Pune","Imaging tech: X-ray operation, CT scan assisting, MRI positioning, radiation safety, and PACS digital imaging system."
"JOB076","ICU Nurse","Healthcare","Amravati","ICU nurse: critical patient care, cardiac monitoring, IV cannulation, basic life support, advanced life support, wound care."
"JOB077","Public Health Educator","Healthcare","Nashik","Health educator: community health education, maternal child health awareness, disease surveillance, vaccination awareness, health outreach programs."
"JOB078","Pharmacy Store Manager","Healthcare","Nagpur","Store manager: pharmaceutical inventory management, drug dispensing operations, medication storage compliance, prescription verification."
"JOB079","CT Scan Operator","Healthcare","Mumbai","CT operator: CT scan protocol, X-ray machine operation, PACS image management, radiation safety, patient positioning."
"JOB080","First Responder Paramedic","Healthcare","Pune","Paramedic: basic life support, advanced cardiac life support, emergency trauma assessment, patient triage, ambulance EMT."
"JOB081","Home Care Nurse","Healthcare","Aurangabad","Home care: patient care at home settings, wound dressing, vital signs monitoring, IV management, basic life support."
"JOB082","Biochemistry Lab Analyst","Healthcare","Nagpur","Lab analyst: clinical biochemistry assays, hematology, blood sample handling, microscopy, pathology lab QC."
"JOB083","Rural Health Assistant","Healthcare","Amravati","Health assistant: vaccination administration, maternal child health visits, community health education, disease surveillance data."
"JOB084","Nuclear Medicine Technician","Healthcare","Pune","Nuclear medicine: radiation safety protocols, PACS systems, MRI assistance, radiology procedures, imaging quality control."
"JOB085","Site Civil Engineer","Construction","Pune","Seeking civil site engineer with AutoCAD drafting, structural drawings, concrete mix design, RCC estimation, and site supervision skills."
"JOB086","Construction Project Manager","Construction","Mumbai","PM role: project scheduling, construction cost estimation, building safety compliance, contract management, and MS Project planning."
"JOB087","Quantity Surveyor","Construction","Nagpur","QS vacancy: quantity takeoff, BOQ preparation, construction cost estimation, material procurement, and billing certification."
"JOB088","Structural Design Engineer","Construction","Pune","Structural engineer: RCC design, steel structure design, STAAD Pro software, load calculation, structural drawing reading."
"JOB089","Building Inspector","Construction","Nashik","Inspector: building safety inspection, plumbing installation check, electrical installation verification, fire safety audit, NBC compliance."
"JOB090","Mason and Formwork Supervisor","Construction","Aurangabad","Formwork supervisor: concrete mix design, brick masonry, plastering work, formwork erection, and RCC slab casting."
"JOB091","Site Surveyor","Construction","Kolhapur","Surveyor: total station survey, levelling, AutoCAD layout drawings, GPS survey, and site boundary marking."
"JOB092","HVAC Installation Technician","Construction","Mumbai","HVAC tech: air conditioning installation, HVAC system design, ductwork fabrication, electrical installation, and building services."
"JOB093","Plumbing Supervisor","Construction","Nagpur","Plumbing supervisor: plumbing installation, pipe fitting, drainage system design, water supply planning, and sanitary works."
"JOB094","Construction Safety Officer","Construction","Pune","Safety officer: building safety compliance, construction PPE enforcement, fire safety protocols, scaffolding safety, incident reporting."
"JOB095","Junior Civil Draughtsman","Construction","Nashik","Draughtsman: AutoCAD 2D drawings, structural drawings interpretation, quantity takeoff, BOQ preparation basics, site plan reading."
"JOB096","BOQ Engineer","Construction","Amravati","BOQ engineer: quantity takeoff, bill of quantities preparation, construction cost estimation, material procurement planning, RCC estimation."
"JOB097","Structural Detailing Engineer","Construction","Nagpur","Detailing: STAAD Pro structural analysis, RCC design, steel structure design, AutoCAD structural drawings, load calculations."
"JOB098","Electrical Installation Supervisor","Construction","Mumbai","Electrical supervisor: electrical installation in buildings, wiring systems, building safety compliance, electrical load calculation, NBC standards."
"JOB099","Tile and Finishing Contractor","Construction","Kolhapur","Finishing works: plastering, tiling, painting, concrete surface finishing, and building safety inspection standards."
"JOB100","Construction Estimator","Construction","Pune","Estimator: construction cost estimation, quantity takeoff, material procurement, BOQ, MS Project scheduling."
"JOB101","Civil Site Supervisor","Construction","Aurangabad","Site supervisor: concrete mix design, RCC, brick masonry, plastering, formwork, and site safety compliance."
"JOB102","MEP Coordinator","Construction","Mumbai","MEP: HVAC design, plumbing installation, electrical installation, building services coordination, fire safety systems."
"JOB103","Project Planning Engineer","Construction","Nashik","Planning: MS Project scheduling, construction program, cost estimation, contract management, project reporting."
"JOB104","Highway Survey Engineer","Construction","Nagpur","Survey: total station survey, GPS survey, AutoCAD road drawings, levelling, quantity calculation."
"JOB105","E-commerce Operations Manager","Retail/E-commerce","Pune","E-commerce manager: marketplace listing management, inventory management, demand forecasting, logistics coordination, and customer satisfaction metrics."
"JOB106","Retail Store Manager","Retail/E-commerce","Mumbai","Store manager: retail customer service, visual merchandising, POS system operation, inventory management, and staff scheduling."
"JOB107","Digital Marketing Executive","Retail/E-commerce","Nashik","Digital marketing: SEO optimization, Google Ads management, social media marketing, email marketing campaigns, and analytics reporting."
"JOB108","Supply Chain Coordinator","Retail/E-commerce","Nagpur","Supply chain: logistics coordination, vendor management, demand forecasting, inventory management, and procurement planning."
"JOB109","Customer Service Representative","Retail/E-commerce","Aurangabad","Customer service: retail customer service, complaint resolution, CRM software, POS billing, and product knowledge."
"JOB110","Marketplace Seller Executive","Retail/E-commerce","Pune","Marketplace executive: Flipkart Amazon seller account management, product listing optimization, marketplace listing management, pricing strategy."
"JOB111","Visual Merchandising Coordinator","Retail/E-commerce","Mumbai","Visual merchandising: store layout design, visual merchandising planning, product display optimization, retail customer experience."
"JOB112","Logistics and Dispatch Executive","Retail/E-commerce","Nashik","Logistics exec: last-mile logistics coordination, dispatch scheduling, inventory management, vendor management, shipment tracking."
"JOB113","E-commerce Catalog Executive","Retail/E-commerce","Nagpur","Catalog exec: product content creation, marketplace listing management, SEO for product listings, image optimization, catalog management."
"JOB114","Retail Sales Associate","Retail/E-commerce","Kolhapur","Sales associate: retail customer service, visual merchandising support, POS system operations, inventory checks, and upselling."
"JOB115","Performance Marketing Analyst","Retail/E-commerce","Mumbai","Marketing analyst: Google Ads, SEO analysis, social media marketing performance, email marketing ROI, analytics and reporting."
"JOB116","Warehouse Inventory Controller","Retail/E-commerce","Pune","Inventory controller: inventory management, demand forecasting, warehouse management system, stock reconciliation, vendor management."
"JOB117","CRM Executive","Retail/E-commerce","Aurangabad","CRM role: CRM software management, customer complaint handling, customer service, loyalty program management, customer data analysis."
"JOB118","E-commerce Category Manager","Retail/E-commerce","Nashik","Category manager: category management, marketplace listing management, demand forecasting, pricing strategy, vendor negotiations."
"JOB119","Retail Operations Supervisor","Retail/E-commerce","Nagpur","Ops supervisor: retail store operations, POS system, visual merchandising oversight, inventory management, customer service standards."
"JOB120","Social Media Marketing Executive","Retail/E-commerce","Mumbai","Social media: social media marketing content, Instagram Facebook campaigns, SEO content, email marketing, analytics."
"JOB121","Procurement Officer","Retail/E-commerce","Pune","Procurement: vendor management, procurement planning, demand forecasting, inventory control, logistics coordination."
"JOB122","E-commerce Returns Manager","Retail/E-commerce","Nashik","Returns manager: logistics coordination, customer service, inventory management, reverse logistics, marketplace listing management."
"JOB123","Retail Customer Experience Lead","Retail/E-commerce","Kolhapur","CX lead: retail customer service, CRM software, complaint resolution, visual merchandising, store NPS improvement."
"JOB124","Digital Sales Analyst","Retail/E-commerce","Amravati","Sales analyst: e-commerce analytics, SEO monitoring, Google Ads reports, email marketing metrics, social media marketing data."
