"course_id","course_name","sector","skills_taught"
"CRS033","RCC and Structural Design Fundamentals","Construction","RCC Design, Steel Structure Design, STAAD Pro, Load Calculation, Structural Drawing Reading"
"CRS034","Quantity Surveying and Estimation","Construction","Quantity Takeoff, BOQ Preparation, Construction Cost Estimation, Material Procurement"
"CRS035","Building Safety and Fire Compliance","Construction","Building Safety Compliance, Fire Safety Audit, Electrical Installation, Plumbing Installation"
"CRS036","Masonry and Concrete Works Certificate","Construction","Concrete Mix Design, Brick Masonry, Plastering, Formwork Erection, RCC Slab Casting"
"CRS037","Survey and Geomatics Technology","Construction","Total Station Survey, Levelling, GPS Survey, AutoCAD Layout, Site Boundary Marking"
"CRS038","E-commerce Operations and Marketplace Management","Retail/E-commerce","Marketplace Listing Management, Inventory Management, Demand Forecasting, Logistics Coordination"
"CRS039","Retail Management and Visual Merchandising","Retail/E-commerce","Retail Customer Service, Visual Merchandising, POS System Operation, Inventory Management"
"CRS040","Digital Marketing and SEO Certificate","Retail/E-commerce","SEO Optimization, Google Ads Management, Social Media Marketing, Email Marketing, Analytics Reporting"
"CRS041","Supply Chain and Procurement Management","Retail/E-commerce","Logistics Coordination, Vendor Management, Demand Forecasting, Procurement Planning"
"CRS042","Customer Relationship Management Systems","Retail/E-commerce","CRM Software, Customer Service, Complaint Resolution, Customer Data Analysis"
"CRS043","Warehouse and Inventory Control","Retail/E-commerce","Inventory Management, Warehouse Management System, Demand Forecasting, Stock Reconciliation"
"CRS044","E-commerce Category and Pricing Strategy","Retail/E-commerce","Category Management, Marketplace Listing Management, Pricing Strategy, Demand Forecasting"
"CRS045","Certificate in COBOL and Legacy Mainframe","IT","COBOL, Mainframe JCL, Punch Card Processing, VSAM"
"CRS046","Traditional Manual Typewriting and Office Procedures","IT","Manual Typewriting, Shorthand Stenography, Carbon Copying, Telex"
"CRS047","Carburetor and Mechanical Ignition Systems","Automotive","Carburetor Tuning, Mechanical Distributor, Point Ignition, Wheel Alignment"
"CRS048","Conventional Pit Loom Weaving and Natural Sizing","Textile","Pit Loom Operation, Wooden Shuttle Repair, Hand Spun Sizing, Loom Operation"
